Company Name,Industry,HQ Location,Employee Size,Revenue Band,Product/Service,Founder Active on LinkedIn?,Decision Maker Name,Role,LinkedIn Presence Score,C1_Innovation_Culture,C2_Team_Size_Fit,C3_DM_LinkedIn_Access,C4_Budget_Ready,C5_Personalization_Hook,C6_Domain_Alignment,Total Score,Final Verdict,Personalization Hook,Reason for Selection,Website,LinkedIn URL,Source Links,Source Verified,Last Checked Date
Growpital,AgriTech / AltInvestment,"Jaipur, Rajasthan",11–50,₹10–100 Cr,Agri-investment platform (passive farming for retail investors),Yes,Rituraj Sharma,Founder & CEO,4,4,3,4,3,5,4,23,HOT,Existing DT client — worth deepening the relationship. The post-SEBI situation makes structured capability building more relevant.,"Growpital is already on DT's radar, so this is more of an account expansion opportunity than a cold outbound target.",https://growpital.com/,https://www.linkedin.com/company/growpital/,https://growpital.com/ | https://www.cbinsights.com/company/growpital | https://www.f6s.com/company/growpital,Partial,2026-05-11
Classplus,EdTech SaaS,"Noida, UP",501–1000,₹100–500 Cr,White-label app platform for coaching institutes and tutors,Yes,Mukul Rustagi,Co-Founder & CEO,5,4,4,5,4,4,5,26,HOT,"The founder is active online and the company is scaling quickly, so outreach can be personalized easily.","Classplus is a good fit because it already runs at scale, has a large product team, and works in a market where structured learning can matter inside both the company and its customer workflows.",https://classplusapp.com/,https://in.linkedin.com/company/classplus,https://classplusapp.com/ | https://in.linkedin.com/company/classplus,Yes,2026-05-11
Newton School,EdTech / Bootcamp,"Bengaluru, Karnataka",51–200,₹10–50 Cr,Coding bootcamp with ISA model for software engineering placements,Yes,Siddharth Maheshwari,Co-Founder & CEO,4,4,4,4,3,4,5,24,HOT,Fellow bootcamp model company — DT can position its SD LMS as an upgrade to traditional bootcamp curriculum delivery.,"Direct competitor in DT's space, so it helps to understand their model and position DT more clearly.",https://www.newtonschool.co/,https://in.linkedin.com/school/newtonschool/,https://www.newtonschool.co/ | https://in.linkedin.com/school/newtonschool/,Yes,2026-05-11
Masai School,EdTech / Bootcamp,"Bengaluru, Karnataka",51–200,₹10–50 Cr,Intensive tech bootcamp with income share agreement model,Yes,Prateek Shukla,Co-Founder & CEO,5,4,4,5,3,4,5,25,HOT,Highly vocal founder on LinkedIn. DT can reach out with a Socratic learning differentiation angle — directly relevant to their curriculum challenges.,ISA model company in EdTech space; team development methodology is directly relevant.,https://masaischool.com/,https://in.linkedin.com/school/masaischool/,https://masaischool.com/ | https://in.linkedin.com/school/masaischool/,Yes,2026-05-11
Darwinbox,HRTech SaaS,"Hyderabad, Telangana",501–1000,₹100–500 Cr,Modern HR management platform (HRMS) for enterprises,Yes,Rohit Chennamaneni,Co-Founder & CEO,4,5,4,4,5,3,3,24,HOT,HRTech company — connection through HR's role in employee learning & development. DT's platform fits L&D budgets.,"Series D company with a Hyderabad HQ, so outreach is easier and the fit is warm.",https://www.darwinbox.com/,https://in.linkedin.com/company/darwinbox/,https://www.darwinbox.com/ | https://in.linkedin.com/company/darwinbox/,Yes,2026-05-11
Keka HR,HRTech SaaS,"Hyderabad, Telangana",201–500,₹50–100 Cr,HR & Payroll SaaS platform for SMBs in India,Yes,Vijay Yalamanchili,Founder & CEO,4,4,4,4,4,4,3,23,HOT,Bootstrapped SaaS company with strong product culture — DT can pitch team innovation culture building. Same city (Hyderabad) as DT.,Hyderabad connection makes outreach easier. Bootstrapped companies are usually more careful on spend but still value practical improvements.,https://www.keka.com/,https://in.linkedin.com/company/keka-hr/,https://www.keka.com/ | https://in.linkedin.com/company/keka-hr/,Yes,2026-05-11
BetterPlace Safety,HRTech / Blue Collar,"Bengaluru, Karnataka",51–200,₹10–50 Cr,Digital identity and workforce management platform for blue-collar workers,Yes,Pravin Agarwala,Co-Founder & CEO,3,3,3,3,3,3,3,18,WARM,Blue-collar workforce upskilling — DT's accessible learning model aligns. Moderate fit.,"Relevant, but farther from DT's core sweet spot around product innovation teams.",https://www.mybetterplace.com/,https://in.linkedin.com/company/mybetterplace,https://www.mybetterplace.com/ | https://in.linkedin.com/company/mybetterplace | https://in.linkedin.com/company/mybetterplace?trk=public_profile_topcard-current-company,Yes,2026-05-11
Jar App,Consumer FinTech,"Bengaluru, Karnataka",51–200,₹10–50 Cr,Micro-savings app — automates spare change investment into digital gold,Yes,Nishchay AG,Co-Founder & CEO,5,4,4,5,4,4,3,24,HOT,Very active founder on LinkedIn and Twitter. Product team growing fast — DT can pitch structured product-innovation grooming as they scale.,Series B fintech with a fast-growing product team and a founder who is reasonably visible.,https://www.myjar.app/,https://in.linkedin.com/company/jarapp,https://www.myjar.app/ | https://in.linkedin.com/company/jarapp,Yes,2026-05-11
Refyne,FinTech / Earned Wage Access,"Bengaluru, Karnataka",51–200,₹10–50 Cr,On-demand salary platform — employees access earned wages before payday,Yes,Chitresh Sharma,Co-Founder & CEO,3,3,3,3,3,3,3,18,WARM,Financial wellness platform — DT's innovation culture angle fits HR tech adjacent sector. Moderate potential.,"Included for sector coverage, but it is lower priority than the stronger fintech fits.",https://www.refyne.co.in/,https://in.linkedin.com/company/refyne-india,https://www.refyne.co.in/ | https://in.linkedin.com/company/refyne-india,Yes,2026-05-11
Fi Money (Epifi Tech),FinTech / Neobank,"Bengaluru, Karnataka",201–500,₹50–100 Cr,Salary account and personal finance management app for millennials,Yes,Sujith Narayanan,Co-Founder & CEO,4,5,4,4,4,4,3,24,HOT,Ex-Google/PhonePe founders — very innovation-conscious leadership. DT pitch: build the next-gen product team through structured grooming.,Strong fintech brand with founders used to structured execution and scale.,https://fi.money/,https://in.linkedin.com/company/fi-money,https://fi.money/ | https://in.linkedin.com/company/fi-money,Yes,2026-05-11
